"AfD","Holtz","Rainer","staatl. geprüfter Techniker","1966","23560","Lübeck"
"DIE LINKE","Mecker","Dalila","Bürokauffrau","1976","23562","Lübeck"
"FREIE WÄHLER","Belz","Ingrid","Kauffrau","1949","23570","Lübeck"
"Die PARTEI","Droßel","Linda","Ökotrophologin","1984","23569","Lübeck"
"dieBasis","Uhlig-Werner","Barbara","Rentner","1944","23566","Lübeck"
"Volt","Normann","Julia","Socialmedia Managerin","2000","23554","Lübeck"
"BfL","Ulrich","Lars","Dipl. Volkswirt","1967","23554","Lübeck"
"GAL","Woyand","Marcel","selbstständig in der Kinder- und Jugendarbeit","1986","23562","Lübeck"
"Die Unabhängigen","Lehrke","Lars","Bankkaufmann","1973","23560","Lübeck"

"CDU","Kleinert","Kevin","Projektleiter","1993","23554","Lübeck"
"SPD","Petereit","Peter","Angestellter / Diplom Psychologe","1962","23552","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Dr. Flasbarth","Axel","Volkswirt","1972","23562","Lübeck"
"FDP","Dr. Klees","Ulrike","Angestellte","1974","23562","Lübeck"
"AfD","Metzger","Daniel","IT Spezialist","1975","23569","Lübeck"
"DIE LINKE","Kessler","Sven","Student","1993","23562","Lübeck"
"FREIE WÄHLER","Völker","Dieter","Rentner","1935","23562","Lübeck"
"Die PARTEI","Flenker","Konstantin","Lokführer","1984","23552","Lübeck"
"dieBasis","Schliemann","Kevin","Rentner","1991","23570","Lübeck"
"Volt","Normann","Stefanie","Verkäuferin","1968","23570","Lübeck"
"BfL","Stadthaus-Panissié","Astrid","Kommunikationskauffrau","1954","23628 Krummesse"
"GAL","Koß","Volker","Umweltchemiker i.R.","1949","23562","Lübeck"
"Die Unabhängigen","Maack","Stefan","Softwareentwickler","1965","23562","Lübeck"

"CDU","Simon","Bernhard","Rentner","1953","23562","Lübeck"
"SPD","Odendahl","Sandra","Angestellte / Krankenschwester","1973","23628 Krummesse"
"BÜNDNIS 90/DIE GRUENEN","Fürst","Thomas","Sozialpädagoge","1959","23562","Lübeck"
"FDP","Müller","Rolf","Realschullehrer i. R.","1942","23560","Lübeck"
"AfD","Töpfer","Martin","Maler","1986","23560","Lübeck"
"DIE LINKE","Boden","Michael","Sozialbetreuer","1968","23552","Lübeck"
"FREIE WÄHLER","Müller","Armin","Restaurantfachmann","1962","23570","Lübeck"
"Die PARTEI","Alam","Anne","Kauffrau","1984","23570","Lübeck"
"dieBasis","Romahn","Olaf","Lehrer","1972","23564","Lübeck"
"Volt","Wingerter","André","Unternehmensberater","1991","23552","Lübeck"
"BfL","Möller","Kara","Industriekauffrau","1999","23569","Lübeck"
"GAL","Thorn","Ronald","Fachinformatiker und Wirtschaftsfachwirt","1985","23560","Lübeck"
"Die Unabhängigen","Stolzenberg","Detlev","Stadtplaner","1960","23560","Lübeck"

"CDU","Haag","Wilhelm","Studienrat","1992","23564","Lübeck"
"SPD","Stüven","Nina","Medizinstudentin","1998","23564","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Bach","Judith","Studentin (Lehramt)","1998","23558","Lübeck"
"FDP","Bethmann","Yannick","Student der Rechtswissenschaften","1998","23560","Lübeck"
"AfD","Salzwedel","Maria","Rentnerin","1945","23570","Lübeck"
"DIE LINKE","Männling","Jan","Student","1999","23562","Lübeck"
"FREIE WÄHLER","Freitag","Tom","Städtischer Angestellter","1975","23566","Lübeck"
"Die PARTEI","Funk","Katrin","Alltagsbegleiter","1990","23552","Lübeck"
"Volt","Falk","Johannes","Dualer Student","1999","23554","Lübeck"
"BfL","Plenius","Christoph","Produktionsleiter","1978","23570","Lübeck"
