"FDP","Wolff","Silke","Betriebswirtin","1959","23562","Lübeck","08"
"AfD","Holtz","Rainer","staatl. geprüfter Techniker","1966","23560","Lübeck","08"
"DIE LINKE","Mecker","Dalila","Bürokauffrau","1976","23562","Lübeck","08"
"FREIE WÄHLER","Belz","Ingrid","Kauffrau","1949","23570","Lübeck","08"
"Die PARTEI","Droßel","Linda","Ökotrophologin","1984","23569","Lübeck","08"
"dieBasis","Uhlig-Werner","Barbara","Rentner","1944","23566","Lübeck","08"
"Volt","Normann","Julia","Socialmedia Managerin","2000","23554","Lübeck","08"
"BfL","Ulrich","Lars","Dipl. Volkswirt","1967","23554","Lübeck","08"
"GAL","Woyand","Marcel","selbstständig in der Kinder- und Jugendarbeit","1986","23562","Lübeck","08"
"Die Unabhängigen","Lehrke","Lars","Bankkaufmann","1973","23560","Lübeck","08"
"CDU","Kleinert","Kevin","Projektleiter","1993","23554","Lübeck","09"
"SPD","Petereit","Peter","Angestellter / Diplom Psychologe","1962","23552","Lübeck","09"
"BÜNDNIS 90/DIE GRUENEN","Dr. Flasbarth","Axel","Volkswirt","1972","23562","Lübeck","09"
"FDP","Dr. Klees","Ulrike","Angestellte","1974","23562","Lübeck","09"
"AfD","Metzger","Daniel","IT Spezialist","1975","23569","Lübeck","09"
"DIE LINKE","Kessler","Sven","Student","1993","23562","Lübeck","09"
"FREIE WÄHLER","Völker","Dieter","Rentner","1935","23562","Lübeck","09"
"Die PARTEI","Flenker","Konstantin","Lokführer","1984","23552","Lübeck","09"
"dieBasis","Schliemann","Kevin","Rentner","1991","23570","Lübeck","09"
"Volt","Normann","Stefanie","Verkäuferin","1968","23570","Lübeck","09"
"BfL","Stadthaus-Panissié","Astrid","Kommunikationskauffrau","1954","23628 Krummesse","09"
"GAL","Koß","Volker","Umweltchemiker i.R.","1949","23562","Lübeck","09"
"Die Unabhängigen","Maack","Stefan","Softwareentwickler","1965","23562","Lübeck","09"
"CDU","Simon","Bernhard","Rentner","1953","23562","Lübeck","10"
"SPD","Odendahl","Sandra","Angestellte / Krankenschwester","1973","23628 Krummesse","10"
"BÜNDNIS 90/DIE GRUENEN","Fürst","Thomas","Sozialpädagoge","1959","23562","Lübeck","10"
"FDP","Müller","Rolf","Realschullehrer i. R.","1942","23560","Lübeck","10"
"AfD","Töpfer","Martin","Maler","1986","23560","Lübeck","10"
"DIE LINKE","Boden","Michael","Sozialbetreuer","1968","23552","Lübeck","10"
"FREIE WÄHLER","Müller","Armin","Restaurantfachmann","1962","23570","Lübeck","10"
"Die PARTEI","Alam","Anne","Kauffrau","1984","23570","Lübeck","10"
"dieBasis","Romahn","Olaf","Lehrer","1972","23564","Lübeck","10"
"Volt","Wingerter","André","Unternehmensberater","1991","23552","Lübeck","10"
"BfL","Möller","Kara","Industriekauffrau","1999","23569","Lübeck","10"
"GAL","Thorn","Ronald","Fachinformatiker und Wirtschaftsfachwirt","1985","23560","Lübeck","10"
"Die Unabhängigen","Stolzenberg","Detlev","Stadtplaner","1960","23560","Lübeck","10"
"CDU","Haag","Wilhelm","Studienrat","1992","23564","Lübeck","11"
"SPD","Stüven","Nina","Medizinstudentin","1998","23564","Lübeck","11"
"BÜNDNIS 90/DIE GRUENEN","Bach","Judith","Studentin (Lehramt)","1998","23558","Lübeck","11"
"FDP","Bethmann","Yannick","Student der Rechtswissenschaften","1998","23560","Lübeck","11"
"AfD","Salzwedel","Maria","Rentnerin","1945","23570","Lübeck","11"
"DIE LINKE","Männling","Jan","Student","1999","23562","Lübeck","11"
"FREIE WÄHLER","Freitag","Tom","Städtischer Angestellter","1975","23566","Lübeck","11"
"Die PARTEI","Funk","Katrin","Alltagsbegleiter","1990","23552","Lübeck","11"
"Volt","Falk","Johannes","Dualer Student","1999","23554","Lübeck","11"
"BfL","Plenius","Christoph","Produktionsleiter","1978","23570","Lübeck","11"
"GAL","Schulte-Ostermann","Tobias","Dipl.-Kaufmann","1978","23552","Lübeck","11"
"Die Unabhängigen","Philipsen","Sibylle","Wirtschaftsprüferin","1978","23560","Lübeck","11"
"CDU","Röttger","Paul-Gerhard","Landwirt","1964","23560","Lübeck","12"
"SPD","Candan","Aydın","Selbstständig / Eventmanager","1973","23556","Lübeck","12"
"BÜNDNIS 90/DIE GRUENEN","Helbing","Johanna","Kommunikationsreferentin","1995","23558","Lübeck","12"
"FDP","Dr. Walther","Axel","Facharzt für Nervenheilkunde","1969","23560","Lübeck","12"
"AfD","Dr. Vieler","Werner","Chirurg","1954","23556","Lübeck","12"
"DIE LINKE","Schulze","Sigrun","Buchhändlerin / Rentnerin","1943","23560","Lübeck","12"
"FREIE WÄHLER","Kirsch","Katja","Angestellte","1965","23570","Lübeck","12"
"Die PARTEI","Berrakkarasu","Kore","Taxiunternehmer","1966","23560","Lübeck","12"
"dieBasis","Krain","Ute","Rentner","1941","23552","Lübeck","12"
"Die Humanisten","Richter","Martin","Informatiker","1988","23560","Lübeck","12"
"BfL","Zöllner","Gordon","Kaufmann","1958","23570","Lübeck","12"
"GAL","Aberle","Kristina","Arbeitsvermittlerin öffentlicher Dienst","1990","23556","Lübeck","12"
"Die Unabhängigen","Nölck","Helmut","Lehrer","1954","23556","Lübeck","12"
"CDU","Steffen","Barbara","Hausfrau","1962","23560","Lübeck","13"
"SPD","Brozio","Philip","Softwareentwickler","1995","23558","Lübeck","13"
"BÜNDNIS 90/DIE GRUENEN","Burakowski","Karin","Erzieherin","1971","23558","Lübeck","13"
"FDP","Kerlin","Daniel","Dipl. Ingenieur","1982","23558","Lübeck","13"
"AfD","Kröplin","Andreas","Unternehmer / Kaufmann","1960","23568","Lübeck","13"
"DIE LINKE","Jürrens","Inko","Student","1999","23558","Lübeck","13"
"FREIE WÄHLER","Wendtland","Jeannette","Beamtin","1964","23558","Lübeck","13"
"Die PARTEI","Ertüfek","Gürhan","Kraftfahrer","1982","23558","Lübeck","13"
"dieBasis","Krain","Peter","Grafiker","1943","23552","Lübeck","13"
"Volt","Nöthling","Patrick","Strategischer Einkäufer","1989","23564","Lübeck","13"
"BfL","Möller","Bernd","Rentner","1960","23569","Lübeck","13"
"GAL","Eickhoff","Hermann","Grafiker","1952","23552","Lübeck","13"
"Die Unabhängigen","Szampański","Georg","Feinmechaniker","1954","23558","Lübeck","13"
"CDU","Kniese","Berit","Rechtsreferendarin","1995","23564","Lübeck","14"
"SPD","Pluschkell","Ulrich","Eisenbahner","1954","23570","Lübeck","14"
"BÜNDNIS 90/DIE GRUENEN","Kleyer","André","Informatiker","1981","23570","Lübeck","14"
"FDP","Brühl","Alexander","Wissenschaftlicher MA UNI","Lübeck","1977","23558","Lübeck","14"
"AfD","Stappen","Markus","Dipl. Verwaltungswirt","1970","23560","Lübeck","14"
